Count,Tradelist Count,Name,Edition,Card Number,Condition,Language,Foil,Signed,Artist Proof,Altered Art,Misprint,Promo,Textless,My Price,Type,Cost,Rarity
3,0,Aether Chaser,Aether Revolt,76,Near Mint,English,,,,,,,,,Creature  - Human Artificer,{1}{R},Common
3,0,Aether Herder,Aether Revolt,102,Near Mint,English,,,,,,,,,Creature  - Elf Artificer Druid,{3}{G},Common
3,0,Aether Inspector,Aether Revolt,3,Near Mint,English,,,,,,,,,Creature  - Dwarf Artificer,{3}{W},Common
3,0,Aether Poisoner,Aether Revolt,51,Near Mint,English,,,,,,,,,Creature  - Human Artificer,{1}{B},Common
2,0,Aether Swooper,Aether Revolt,26,Near Mint,English,,,,,,,,,Creature  - Vedalken Artificer,{1}{U},Common
1,0,Aether Theorist,Kaladesh,37,Near Mint,English,,,,,,,,,Creature  - Vedalken Rogue,{1}{U},Common
2,0,Aether Tradewinds,Kaladesh,38,Near Mint,English,,,,,,,,,Instant,{2}{U},Common
1,0,Aethergeode Miner,Aether Revolt,4,Near Mint,English,,,,,,,,,Creature  - Dwarf Scout,{1}{W},Rare
4,0,Aetherstream Leopard,Aether Revolt,103,Near Mint,English,,,,,,,,,Creature  - Cat,{2}{G},Common
1,0,Afterlife,Mirage,205,Near Mint,English,,,,,,,,0,Instant,{2}{W},Uncommon
5,0,Agent of Horizons,Theros,148,Near Mint,English,,,,,,,,,Creature  - Human Rogue,{2}{G},Common
1,0,Aggression,Ice Age,169,Near Mint,English,,,,,,,,,Enchantment  - Aura,{2}{R},Uncommon
2,0,Aggressive Urge,Rivals of Ixalan,122,Near Mint,English,,,,,,,,,Instant,{1}{G},Common
2,0,Agility,Mirage,154,Near Mint,English,,,,,,,,,Enchantment  - Aura,{1}{R},Common
2,0,Ahn-Crop Crasher,Amonkhet,117,Near Mint,English,,,,,,,,,Creature  - Minotaur Warrior,{2}{R},Uncommon
1,0,Aim High,Shadows over Innistrad,193,Near Mint,English,,,,,,,,,Instant,{1}{G},Common
1,0,Air Bladder,Nemesis,28,Near Mint,English,,,,,,,,,Enchantment  - Aura,{U},Common
2,0,Air Elemental,Fourth Edition,59,Near Mint,English,,,,,,,,0,Creature  - Elemental,{3}{U}{U},Uncommon
1,0,Air Elemental,Seventh Edition,58,Near Mint,English,,,,,,,,0,Creature  - Elemental,{3}{U}{U},Uncommon
1,0,Air Elemental,Eighth Edition,59,Near Mint,English,,,,,,,,0,Creature  - Elemental,{3}{U}{U},Uncommon
1,0,Air Elemental,Ixalan,45,Near Mint,English,,,,,,,,,Creature  - Elemental,{3}{U}{U},Uncommon
1,0,Air Servant,Magic 2011,42,Near Mint,English,,,,,,,,0,Creature  - Elemental,{4}{U},Uncommon
1,0,Air Servant,Magic 2014 Core Set,42,Near Mint,English,,,,,,,,0,Creature  - Elemental,{4}{U},Uncommon
1,0,Airdrop Aeronauts,Aether Revolt,5,Near Mint,English,,,,,,,,,Creature  - Dwarf Scout,{3}{W}{W},Uncommon
1,0,Ajani's Mantra,Magic 2011,2,Near Mint,English,,,,,,,,,Enchantment,{1}{W},Common
3,0,Ajani's Pridemate,Magic 2015 Core Set,2,Near Mint,English,,,,,,,,,Creature  - Cat Soldier,{1}{W},Uncommon
4,0,Akroan Crusader,Theros,111,Near Mint,English,,,,,,,,,Creature  - Human Soldier,{R},Common
3,0,Akroan Hoplite,Theros,185,Near Mint,English,,,,,,,,,Creature  - Human Soldier,{R}{W},Uncommon
1,0,Akroan Horse,Commander 2016,241,Near Mint,English,,,,,,,,,Artifact Creature  - Horse,{4},Rare
1,0,Akroan Jailer,Magic Origins,1,Near Mint,English,,,,,,,,,Creature  - Human Soldier,{W},Common
1,1,Akroan Sergeant,Magic Origins,130,Near Mint,English,foil,,,,,,,0,Creature  - Human Soldier,{2}{R},Common
1,0,Akroan Sergeant,Magic Origins,130,Near Mint,English,,,,,,,,,Creature  - Human Soldier,{2}{R},Common
1,0,Alabaster Kirin,Khans of Tarkir,4,Near Mint,English,,,,,,,,,Creature  - Kirin,{3}{W},Common
1,0,Alabaster Mage,Magic 2012,2,Near Mint,English,,,,,,,,,Creature  - Human Wizard,{1}{W},Uncommon
1,0,Alabaster Potion,Fourth Edition,251,Near Mint,English,,,,,,,,0,Instant,{X}{W}{W},Common
2,0,Alarum,Mirage,206,Near Mint,English,,,,,,,,,Instant,{1}{W},Common
1,0,Alchemist's Apprentice,Avacyn Restored,42,Near Mint,English,,,,,,,,,Creature  - Human Wizard,{1}{U},Common
1,0,Alchemist's Vial,Magic Origins,220,Near Mint,English,,,,,,,,,Artifact,{2},Common
1,0,Alesha's Vanguard,Fate Reforged,60,Near Mint,English,,,,,,,,,Creature  - Orc Warrior,{3}{B},Common
1,0,"Alhammarret, High Arbiter",Magic Origins,43,Near Mint,English,,,,,,,,,Legendary Creature  - Sphinx,{5}{U}{U},Rare
4,0,Alley Evasion,Aether Revolt,6,Near Mint,English,,,,,,,,,Instant,{W},Common
2,0,Alley Strangler,Aether Revolt,52,Near Mint,English,,,,,,,,,Creature  - Aetherborn Rogue,{2}{B},Common
1,0,Allied Reinforcements,Oath of the Gatewatch,15,Near Mint,English,,,,,,,,,Sorcery,{3}{W},Uncommon
2,0,Alluring Siren,Magic 2012,42,Near Mint,English,,,,,,,,,Creature  - Siren,{1}{U},Uncommon
2,0,Alpha Myr,Mirrodin,142,Near Mint,English,,,,,,,,,Artifact Creature  - Myr,{2},Common
3,0,Alpha Tyrranax,Scars of Mirrodin,109,Near Mint,English,,,,,,,,,Creature  - Beast,{4}{G}{G},Common
1,0,Altac Bloodseeker,Magic 2015 Core Set,128,Near Mint,English,,,,,,,,,Creature  - Human Berserker,{1}{R},Uncommon
1,0,Altar of Bone,Ice Age,359,Near Mint,English,,,,,,,,,Sorcery,{G}{W},Rare
1,0,Altar's Light,Mirrodin,1,Near Mint,English,,,,,,,,,Instant,{2}{W}{W},Uncommon
1,0,Altar's Reap,Battle for Zendikar,103,Near Mint,English,,,,,,,,,Instant,{1}{B},Common
3,0,Ambition's Cost,Eighth Edition,118,Near Mint,English,,,,,,,,0,Sorcery,{3}{B},Uncommon
2,0,Ambitious Aetherborn,Kaladesh,72,Near Mint,English,,,,,,,,,Creature  - Aetherborn Artificer,{4}{B},Common
1,0,Amphibious Kavu,Planeshift,78,Near Mint,English,,,,,,,,,Creature  - Kavu,{2}{G},Common
1,0,Amphin Cutthroat,Magic 2012,43,Near Mint,English,,,,,,,,,Creature  - Salamander Rogue,{3}{U},Common
3,0,Amphin Pathmage,Magic 2015 Core Set,45,Near Mint,English,,,,,,,,,Creature  - Salamander Wizard,{3}{U},Common
1,0,Ampryn Tactician,Magic Origins,2,Near Mint,English,,,,,,,,,Creature  - Human Soldier,{2}{W}{W},Common
2,0,Amrou Kithkin,Fourth Edition,252,Near Mint,English,,,,,,,,,Creature  - Kithkin,{W}{W},Common
1,0,Amulet of Kroog,Fourth Edition,311,Near Mint,English,,,,,,,,0,Artifact,{2},Common
2,0,Anaba Bodyguard,Homelands,82,Near Mint,English,,,,,,,,0,Creature  - Minotaur,{3}{R},Common
1,0,Anaba Bodyguard,Homelands,83,Near Mint,English,,,,,,,,0,Creature  - Minotaur,{3}{R},Common
1,0,Anaba Shaman,Homelands,84,Near Mint,English,,,,,,,,0,Creature  - Minotaur Shaman,{3}{R},Common
3,0,Anaba Shaman,Eighth Edition,175,Near Mint,English,,,,,,,,0,Creature  - Minotaur Shaman,{3}{R},Common
1,0,Ancestral Memories,Mirage,52,Near Mint,English,,,,,,,,0,Sorcery,{2}{U}{U}{U},Rare
1,0,Ancestral Memories,Seventh Edition,59,Near Mint,English,,,,,,,,,Sorcery,{2}{U}{U}{U},Rare
5,0,Ancient Brontodon,Ixalan,175,Near Mint,English,,,,,,,,,Creature  - Dinosaur,{6}{G}{G},Common
3,0,Ancient Crab,Amonkhet,40,Near Mint,English,,,,,,,,,Creature  - Crab,{1}{U}{U},Common
1,0,Ancient Grudge,Time Spiral,143,Near Mint,English,,,,,,,,0,Instant,{1}{R},Common
2,0,Ancient Silverback,Magic 2015 Core Set,168,Near Mint,English,,,,,,,,,Creature  - Ape,{4}{G}{G},Uncommon
1,0,Angel of Mercy,Eighth Edition,1,Near Mint,English,,,,,,,,0,Creature  - Angel,{4}{W},Uncommon
1,0,Angel of Renewal,Battle for Zendikar,18,Near Mint,English,,,,,,,,,Creature  - Angel Ally,{5}{W},Uncommon
2,0,Angel's Feather,Ninth Edition,287,Near Mint,English,,,,,,,,0,Artifact,{2},Uncommon
1,0,Angel's Feather,Magic 2011,201,Near Mint,English,,,,,,,,0,Artifact,{2},Uncommon
1,0,Angel's Mercy,Magic 2012,4,Near Mint,English,,,,,,,,0,Instant,{2}{W}{W},Common
1,0,Angel's Mercy,Avacyn Restored,3,Near Mint,English,,,,,,,,0,Instant,{2}{W}{W},Common
1,0,Angel's Tomb,Avacyn Restored,211,Near Mint,English,,,,,,,,0,Artifact,{3},Uncommon
1,0,Angel's Tomb,Magic Origins,222,Near Mint,English,,,,,,,,,Artifact,{3},Uncommon
1,0,Angelic Blessing,Ninth Edition,2,Near Mint,English,,,,,,,,0,Sorcery,{2}{W},Common
1,0,Angelic Blessing,Tenth Edition,3,Near Mint,English,,,,,,,,,Sorcery,{2}{W},Common
1,0,Angelic Captain,Battle for Zendikar,208,Near Mint,English,,,,,,,,,Creature  - Angel Ally,{3}{R}{W},Rare
3,0,Angelic Edict,Gatecrash,2,Near Mint,English,,,,,,,,,Sorcery,{4}{W},Common
2,0,Angelic Gift,Battle for Zendikar,19,Near Mint,English,,,,,,,,,Enchantment  - Aura,{1}{W},Common
1,0,Angelic Page,Seventh Edition,1,Near Mint,English,,,,,,,,0,Creature  - Angel Spirit,{1}{W},Common
1,0,Angelic Page,Eighth Edition,2,Near Mint,English,,,,,,,,0,Creature  - Angel Spirit,{1}{W},Common
1,0,Angelic Wall,Magic 2014 Core Set,4,Near Mint,English,,,,,,,,,Creature  - Wall,{1}{W},Common
1,0,Anger of the Gods,Theros,112,Near Mint,English,,,,,,,,,Sorcery,{1}{R}{R},Rare
2,0,Angler Drake,Amonkhet,41,Near Mint,English,,,,,,,,,Creature  - Drake,{4}{U}{U},Uncommon
3,0,Annihilating Fire,Return to Ravnica,85,Near Mint,English,,,,,,,,,Instant,{1}{R}{R},Common
2,0,Annul,Urza's Saga,59,Near Mint,English,,,,,,,,0,Instant,{U},Common
5,0,Annul,Theros,38,Near Mint,English,,,,,,,,,Instant,{U},Common
3,0,Anointed Deacon,Ixalan,89,Near Mint,English,,,,,,,,,Creature  - Vampire Cleric,{4}{B},Common
1,0,Anointer Priest,Amonkhet,3,Near Mint,English,,,,,,,,,Creature  - Human Cleric,{1}{W},Common
1,0,"Anthousa, Setessan Hero",Theros,149,Near Mint,English,,,,,,,,,Legendary Creature  - Human Warrior,{3}{G}{G},Rare
1,0,Anticipate,Battle for Zendikar,69,Near Mint,English,,,,,,,,,Instant,{1}{U},Common
2,0,Antler Skulkin,Eventide,167,Near Mint,English,,,,,,,,,Artifact Creature  - Scarecrow,{5},Common
3,0,Anvilwrought Raptor,Theros,211,Near Mint,English,,,,,,,,,Artifact Creature  - Bird,{4},Uncommon
1,0,Apostle's Blessing,New Phyrexia,2,Near Mint,English,,,,,,,,0,Instant,{1}{WP},Common
1,0,Appetite for the Unnatural,Kaladesh,141,Near Mint,English,,,,,,,,,Instant,{2}{G},Common
2,0,Aquamorph Entity,Duel Decks: Speed vs. Cunning,54,,,,,,,,,,,Creature  - Shapeshifter,{2}{U}{U},Common
1,0,Aquatic Incursion,Rivals of Ixalan,32,Near Mint,English,,,,,,,,,Enchantment,{3}{U},Uncommon
3,0,Aqueous Form,Theros,39,Near Mint,English,,,,,,,,,Enchantment  - Aura,{U},Common
1,0,Aquitect's Will,Lorwyn,52,Near Mint,English,,,,,,,,,Tribal Sorcery  - Merfolk,{U},Common
1,1,Arachnus Spinner,Magic 2012,162,Near Mint,English,foil,,,,,,,0,Creature  - Spider,{5}{G},Rare
1,0,Arachnus Spinner,Magic 2012,162,Near Mint,English,,,,,,,,0,Creature  - Spider,{5}{G},Rare
4,0,Arachnus Web,Magic 2012,163,Near Mint,English,,,,,,,,0,Enchantment  - Aura,{2}{G},Common
2,0,Aradara Express,Kaladesh,195,Near Mint,English,,,,,,,,,Artifact  - Vehicle,{5},Common
1,0,Arbalest Elite,Magic 2012,5,Near Mint,English,,,,,,,,,Creature  - Human Archer,{2}{W}{W},Uncommon
1,0,Arbor Elf,Worldwake,95,Near Mint,English,,,,,,,,0,Creature  - Elf Druid,{G},Common
2,0,Arc Lightning,Urza's Saga,174,Near Mint,English,,,,,,,,0,Sorcery,{2}{R},Common
3,0,Arc Runner,Magic 2011,123,Near Mint,English,,,,,,,,,Creature  - Elemental Ox,{2}{R},Common
1,0,Arc Trail,Duel Decks: Speed vs. Cunning,23,,,,,,,,,,,Sorcery,{1}{R},Uncommon
1,0,Arcane Denial,Alliances,33,Near Mint,English,,,,,,,,0,Instant,{1}{U},Common
1,0,Arcane Laboratory,Seventh Edition,60,Near Mint,English,,,,,,,,,Enchantment,{2}{U},Uncommon
1,0,Arcanis the Omnipotent,Duel Decks: Speed vs. Cunning,42,,,foil,,,,,,,,Legendary Creature  - Wizard,{3}{U}{U}{U},MythicRare
1,0,Arch of Orazca,Rivals of Ixalan,185,Near Mint,English,,,,,,,,,Land,,Rare
1,0,Archaeomancer,Magic 2013,41,Near Mint,English,,,,,,,,0,Creature  - Human Wizard,{2}{U}{U},Common
2,0,Archers' Parapet,Khans of Tarkir,128,Near Mint,English,,,,,,,,,Creature  - Wall,{1}{G},Common
1,0,Archivist,Eighth Edition,60,Near Mint,English,,,,,,,,0,Creature  - Human Wizard,{2}{U}{U},Rare
1,0,Arctic Foxes,Ice Age,226,Near Mint,English,,,,,,,,,Creature  - Fox,{1}{W},Common
1,0,Arcum's Whistle,Ice Age,286,Near Mint,English,,,,,,,,,Artifact,{3},Uncommon
1,0,Ardent Militia,Eighth Edition,3,Near Mint,English,,,,,,,,,Creature  - Human Soldier,{4}{W},Uncommon
2,0,Ardent Recruit,Mirrodin Besieged,2,Near Mint,English,,,,,,,,,Creature - Human Soldier,{W},Common
1,0,Arena Athlete,Theros,113,Near Mint,English,,,,,,,,,Creature  - Human,{1}{R},Uncommon
2,0,Argothian Elder,Urza's Saga,233,Near Mint,English,,,,,,,,,Creature  - Elf Druid,{3}{G},Uncommon
1,0,Arm with Aether,New Phyrexia,28,Near Mint,English,,,,,,,,,Sorcery,{2}{U},Uncommon
1,0,Armor of Faith,Ice Age,228,Near Mint,English,,,,,,,,0,Enchantment  - Aura,{W},Common
2,0,Armor of Thorns,Mirage,104,Near Mint,English,,,,,,,,,Enchantment  - Aura,{1}{G},Common
1,0,Armorcraft Judge,Kaladesh,144,Near Mint,English,,,,,,,,0,Creature  - Elf Artificer,{3}{G},Uncommon
1,0,Armored Ascension,Magic 2011,5,Near Mint,English,,,,,,,,,Enchantment  - Aura,{3}{W},Uncommon
1,0,Armored Cancrix,Magic 2011,44,Near Mint,English,,,,,,,,0,Creature  - Crab,{4}{U},Common
1,0,Armored Skaab,Innistrad,43,Near Mint,English,,,,,,,,,Creature  - Zombie Warrior,{2}{U},Common
2,0,Armored Transport,Gatecrash,226,Near Mint,English,,,,,,,,,Artifact Creature  - Construct,{3},Common
2,0,Armored Warhorse,Magic 2012,7,Near Mint,English,,,,,,,,,Creature  - Horse,{W}{W},Common
1,0,Armorer Guildmage,Mirage,156,Near Mint,English,,,,,,,,,Creature  - Human Wizard,{R},Common
1,0,Armory Guard,Return to Ravnica,2,Near Mint,English,,,,,,,,,Creature  - Giant Soldier,{3}{W},Common
2,0,Army Ants,Visions,126,Near Mint,English,,,,,,,,,Creature  - Insect,{1}{B}{R},Uncommon
2,0,Arrest,Mirrodin,2,Near Mint,English,,,,,,,,0,Enchantment  - Aura,{2}{W},Common
2,0,Arrest,Scars of Mirrodin,2,Near Mint,English,,,,,,,,0,Enchantment  - Aura,{2}{W},Common
2,0,Arrest,Return to Ravnica,3,Near Mint,English,,,,,,,,0,Enchantment  - Aura,{2}{W},Uncommon
1,0,Arrow Volley Trap,Duel Decks: Speed vs. Cunning,71,,,,,,,,,,,Instant  - Trap,{3}{W}{W},Uncommon
1,0,Artful Dodge,Dark Ascension,27,Near Mint,English,,,,,,,,,Sorcery,{U},Common
1,0,Artificer's Epiphany,Magic Origins,45,Near Mint,English,,,,,,,,,Instant,{2}{U},Common
1,0,Artificer's Hex,Magic 2014 Core Set,85,Near Mint,English,,,,,,,,,Enchantment  - Aura,{B},Uncommon
1,0,Artisan of Forms,Theros,40,Near Mint,English,,,,,,,,,Creature  - Human Wizard,{1}{U},Rare
1,0,Artisan of Kozilek,Commander,1,Near Mint,English,,,,,,,,0,Creature  - Eldrazi,{9},Uncommon
1,0,Artisan's Sorrow,Theros,151,Near Mint,English,,,,,,,,,Instant,{3}{G},Uncommon
3,0,Ashes to Ashes,Fourth Edition,3,Near Mint,English,,,,,,,,0,Sorcery,{1}{B}{B},Uncommon
2,0,Asphodel Wanderer,Theros,77,Near Mint,English,,,,,,,,,Creature  - Skeleton Soldier,{B},Common
2,0,Aspiring Aeronaut,Magic Origins,46,Near Mint,English,,,,,,,,,Creature  - Human Artificer,{3}{U},Common
2,0,Assassinate,Time Spiral,95,Near Mint,English,,,,,,,,0,Sorcery,{2}{B},Common
2,0,Assault Griffin,Magic 2011,6,Near Mint,English,,,,,,,,0,Creature  - Griffin,{3}{W},Common
1,0,Assault Griffin,Magic 2012,8,Near Mint,English,,,,,,,,0,Creature  - Griffin,{3}{W},Common
4,0,Assault Griffin,Gatecrash,4,Near Mint,English,,,,,,,,,Creature  - Griffin,{3}{W},Common
2,0,Assert Authority,Mirrodin,30,Near Mint,English,,,,,,,,,Instant,{5}{U}{U},Uncommon
1,0,Atogatog,Odyssey,286,Near Mint,English,,,,,,,,,Legendary Creature  - Atog,{W}{U}{B}{R}{G},Rare
1,0,Attended Knight,Modern Masters 2017 Edition,1,Near Mint,English,,,,,,,,,Creature  - Human Knight,{2}{W},Common
2,0,Audacious Infiltrator,Aether Revolt,7,Near Mint,English,,,,,,,,,Creature  - Dwarf Rogue,{1}{W},Common
2,0,Auger Spree,Modern Masters 2017 Edition,151,Near Mint,English,,,,,,,,,Instant,{1}{B}{R},Common
2,0,Augmenting Automaton,Aether Revolt,143,Near Mint,English,,,,,,,,,Artifact Creature  - Construct,{1},Common
2,0,Augury Owl,Magic 2011,45,Near Mint,English,,,,,,,,,Creature  - Bird,{1}{U},Common
1,0,Aura Flux,Urza's Legacy,27,Near Mint,English,,,,,,,,,Enchantment,{2}{U},Common
2,0,Aura Gnarlid,Rise of the Eldrazi,175,Near Mint,English,,,,,,,,,Creature  - Beast,{2}{G},Common
2,0,Auramancer,Magic 2012,9,Near Mint,English,,,,,,,,0,Creature  - Human Wizard,{2}{W},Common
1,0,Auriok Replica,Scars of Mirrodin,138,Near Mint,English,,,,,,,,,Artifact Creature  - Cleric,{3},Common
1,0,Auriok Sunchaser,Scars of Mirrodin,4,Near Mint,English,,,,,,,,,Creature  - Human Soldier,{1}{W},Common
1,0,Aurochs,Ice Age,113,Near Mint,English,,,,,,,,0,Creature  - Aurochs,{3}{G},Common
2,0,Autumn's Veil,Magic 2012,164,Near Mint,English,,,,,,,,,Instant,{G},Uncommon
1,0,Avarax,Eternal Masters,117,Near Mint,English,,,,,,,,,Creature  - Beast,{3}{R}{R},Common
1,0,Avatar of Hope,Eighth Edition,4,Near Mint,English,,,,,,,,,Creature  - Avatar,{6}{W}{W},Rare
2,0,Aven Cloudchaser,Eighth Edition,5,Near Mint,English,,,,,,,,0,Creature  - Bird Soldier,{3}{W},Common
1,0,Aven Envoy,Legions,30,Near Mint,English,,,,,,,,0,Creature  - Bird Soldier,{U},Common
1,0,Aven Fisher,Eighth Edition,61,Near Mint,English,,,,,,,,0,Creature  - Bird Soldier,{3}{U},Common
1,0,Aven Fleetwing,Magic 2012,44,Near Mint,English,,,,,,,,,Creature  - Bird Soldier,{3}{U},Common
1,0,Aven Flock,Ninth Edition,4,Near Mint,English,,,,,,,,,Creature  - Bird Soldier,{4}{W},Common
3,0,Aven Initiate,Amonkhet,43,Near Mint,English,,,,,,,,,Creature  - Bird Warrior,{3}{U},Common
3,0,Aven of Enduring Hope,Hour of Devastation,5,Near Mint,English,,,,,,,,,Creature  - Bird Cleric,{4}{W},Common
1,0,Aven Redeemer,Legions,3,Near Mint,English,,,,,,,,,Creature  - Bird Cleric,{3}{W},Common
1,0,Aven Riftwatcher,Planar Chaos,1,Near Mint,English,,,,,,,,0,Creature  - Bird Rebel Soldier,{2}{W},Common
7,0,Aven Surveyor,Fate Reforged,31,Near Mint,English,,,,,,,,,Creature  - Bird Scout,{3}{U}{U},Common
1,0,Aven Warhawk,Legions,4,Near Mint,English,,,,,,,,,Creature  - Bird Soldier,{4}{W},Uncommon
2,0,Aven Windreader,Ninth Edition,62,Near Mint,English,,,,,,,,0,Creature  - Bird Soldier Wizard,{3}{U}{U},Common
2,0,Avenging Arrow,Return to Ravnica,4,Near Mint,English,,,,,,,,,Instant,{2}{W},Common
2,0,Aviary Mechanic,Kaladesh,6,Near Mint,English,,,,,,,,,Creature  - Dwarf Artificer,{1}{W},Common
1,0,Awakened Amalgam,Rivals of Ixalan,175,Near Mint,English,,,,,,,,,Artifact Creature  - Golem,{4},Rare
1,0,Awe Strike,Mirrodin,6,Near Mint,English,,,,,,,,,Instant,{W},Common
2,0,Axebane Guardian,Return to Ravnica,115,Near Mint,English,,,,,,,,,Creature  - Human Druid,{2}{G},Common
3,0,Axebane Stag,Return to Ravnica,116,Near Mint,English,,,,,,,,,Creature  - Elk,{6}{G},Common
1,0,Azimaet Drake,Mirage,53,Near Mint,English,,,,,,,,,Creature  - Drake,{2}{U},Common
2,0,Azorius Arrester,Return to Ravnica,5,Near Mint,English,,,,,,,,,Creature  - Human Soldier,{1}{W},Common
1,0,Azorius Guildgate,Return to Ravnica,237,Near Mint,English,,,,,,,,0,Land  - Gate,,Common
2,0,Azure Drake,Magic 2011,46,Near Mint,English,,,,,,,,,Creature  - Drake,{3}{U},Common
1,0,Back to Nature,Magic 2015 Core Set,169,Near Mint,English,,,,,,,,,Instant,{1}{G},Uncommon
1,0,Bad Moon,Revised Edition,2,Near Mint,English,,,,,,,,0,Enchantment,{1}{B},Rare
1,0,Bad Moon,Fourth Edition,4,Near Mint,English,,,,,,,,0,Enchantment,{1}{B},Rare
3,0,Balduvian Barbarians,Ice Age,172,Near Mint,English,,,,,,,,0,Creature  - Human Barbarian,{1}{R}{R},Common
3,0,Balduvian Barbarians,Seventh Edition,173,Near Mint,English,,,,,,,,0,Creature  - Human Barbarian,{1}{R}{R},Common
1,0,Balduvian Barbarians,Ninth Edition,174,Near Mint,English,,,,,,,,0,Creature  - Human Barbarian,{1}{R}{R},Common
